"date","month_year","site_name","site_num","lat","lon","red_green","green_red"
2019-02-05,Feb 2019,"Orote Point",119,13.44885,144.6266667,0.719476744186047,1.38989898989899
2019-02-05,Feb 2019,"Orote Point",112,13.44875,144.62685,0.727941176470588,1.37373737373737
2019-02-05,Feb 2019,"Sasa Bay",101,13.4477333,144.6716166,0.768041237113402,1.30201342281879
2019-02-05,Feb 2019,"Orote Point",182,13.4497333,144.6251666,0.718518518518518,1.39175257731959
2019-02-05,Feb 2019,"Inner Harbor",24,13.4300167,144.6718,0.696388261851016,1.43598055105348
2019-02-05,Feb 2019,"Inner Harbor",217,13.43185,144.674333,0.589445438282648,1.69650986342944
2019-02-05,Feb 2019,"Orote Point",141,13.4492,144.62585,0.756716417910448,1.32149901380671
2019-02-05,Feb 2019,"Middle Shoals",121,13.4488667,144.6533667,0.75,1.33333333333333
2019-02-05,Feb 2019,"Orote Point",158,13.44935,144.6256833,0.730654761904762,1.36863543788187
2019-02-05,Feb 2019,"Orote Point",166,13.4494833,144.62535,0.746246246246246,1.34004024144869
2019-02-05,Feb 2019,"Inner Harbor",211,13.4307,144.6716166,0.634146341463415,1.57692307692308
2019-02-05,Feb 2019,"Orote Point",126,13.4489833,144.6262666,0.733431516936672,1.36345381526104
2019-02-05,Feb 2019,"Orote Point",107,13.44845,144.6267167,0.726067746686303,1.37728194726166
2019-02-05,Feb 2019,"Orote Point",108,13.4484667,144.6267167,0.726067746686303,1.37728194726166
2019-02-05,Feb 2019,"Orote Point",187,13.4498,144.6246833,0.726744186046512,1.376
2019-02-05,Feb 2019,"Orote Point",207,13.4504667,144.62335,0.753661784287617,1.32685512367491
2019-02-05,Feb 2019,"Inner Harbor",40,13.4315667,144.6744,0.58659217877095,1.7047619047619
2019-02-05,Feb 2019,"Inner Harbor",216,13.4315333,144.6744167,0.573529411764706,1.74358974358974
2019-02-05,Feb 2019,"Inner Harbor",31,13.43135,144.6742333,0.587800369685767,1.70125786163522
2019-02-05,Feb 2019,"Middle Shoals",128,13.44905,144.6566,0.933282208588957,1.07148726376335
2019-02-05,Feb 2019,"Inner Harbor",26,13.4302167,144.6724,0.621885157096425,1.60801393728223
2019-02-05,Feb 2019,"Orote Point",140,13.4492,144.6261666,0.741839762611276,1.348
2019-02-05,Feb 2019,"Orote Point",117,13.4488333,144.6262167,0.720524017467249,1.38787878787879
2019-02-05,Feb 2019,"Orote Point",196,13.4500167,144.6246833,0.727138643067847,1.37525354969574
2019-02-05,Feb 2019,"Orote Point",184,13.4497667,144.6245833,0.73768115942029,1.35559921414538
2019-02-05,Feb 2019,"Orote Point",185,13.4497833,144.62465,0.73768115942029,1.35559921414538
2019-02-05,Feb 2019,"Orote Point",191,13.44993,144.62448,0.732248520710059,1.36565656565657
2019-02-05,Feb 2019,"Orote Point",195,13.4499667,144.6239666,0.710401891252955,1.40765391014975
2019-02-05,Feb 2019,"Orote Point",192,13.44995,144.6243833,0.737300435413643,1.35629921259843
2019-02-05,Feb 2019,"Orote Point",143,13.4492167,144.6278666,0.729411764705882,1.37096774193548
2019-02-05,Feb 2019,"Orote Point",152,13.4492833,144.6278167,0.729411764705882,1.37096774193548
2019-02-05,Feb 2019,"Inner Harbor",38,13.4315333,144.6743333,0.58659217877095,1.7047619047619
2019-02-05,Feb 2019,"Inner Harbor",213,13.431333,144.6745833,0.583487940630798,1.71383147853736
2019-02-05,Feb 2019,"Orote Point",146,13.44925,144.6257,0.741071428571428,1.34939759036145
2019-02-05,Feb 2019,"Orote Point",150,13.4492667,144.62575,0.741071428571428,1.34939759036145
2019-02-05,Feb 2019,"Orote Point",137,13.44915,144.6268,0.742647058823529,1.34653465346535
