ID,UNIQUEID,POLYGONID,AREA,PERIMETER,ACRES,ISLAND,M_STRUCT,D_STRUCT,M_COVER,P_COVER,ZONE,COVER_TYPE,_Pleasecou,_Pleasesum,_Pleasemea,Site Name,Longitude,Latitude,intersection_area
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6264,13.449,"2692"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6257,13.4494,"3545"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.626,13.4488,"3241"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6259,13.4492,"3509"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6269,13.4484,"1296"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6269,13.4488,"1395"
"2163","2163","587",7391.719,1067.537,1.826,Guam,Coral Reef and Hardbottom,Aggregate Reef,Turf,50%-<90%,Bank/Shelf,Turf 50%-<90%,,,,Orote Point,144.6255,13.4493,"3871"
"2622","2622","589",36982.147,1410.109,9.138,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Orote Point,144.626,13.4488,"1088"
"2622","2622","589",36982.147,1410.109,9.138,Guam,Coral Reef and Hardbottom,Pavement,Macroalgae,10%-<50%,Reef Flat,Macroalgae 10%-<50%,,,,Orote Point,144.6269,13.4484,"369"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6247,13.45,"3574"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6245,13.4499,"4021"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6244,13.45,"3738"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6249,13.4504,"223"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6257,13.4492,"3867"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6261,13.4491,"2980"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6264,13.449,"2382"
"2152","2152","592",42221.530,2963.318,10.433,Guam,Coral Reef and Hardbottom,Aggregate Reef,Coral,10%-<50%,Bank/Shelf,Coral 10%-<50%,,,,Orote Point,144.6257,13.4494,"3591"
