"plate","well_position","sample","sample_old","field_collection_month","site","filter_half","target","Cq","quantity","positive","dCq"
"P20190530_HH_FebMarch2019FC","D4","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D5","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D6","201903_IH_3a","20190307_IH_3a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D7","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D8","201903_IH_4a","20190307_IH_4a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D9","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D10","201903_IH_5a","20190307_IH_5a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D11","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D12","201903_IH_6a","20190307_IH_6a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D13","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D14","201903_IH_7a","20190307_IH_7a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D15","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D16","201903_IH_8a","20190307_IH_8a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D17","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D18","201903_IH_9a","20190307_IH_9a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D19","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D20","201903_IH_10a","20190307_IH_10a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
